"ClusterID","File-Name","Cluster","Group","PD-1"
5723,"RR_P155_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.912505451148851
5724,"RR_P155_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.56018185144058
5732,"RR_P155_CD3+_7500","CD4 Th1 EM GrB+","R/R",2.08465072354283
5739,"RR_P155_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.50567210711842
5740,"RR_P155_CD3+_7500","CD4 Th2-like EM","R/R",2.23015398477267
5708,"RR_P156_CD3+_7500","CD4 Th17 CM","R/R",0.42999685249188
5710,"RR_P156_CD3+_7500","CD4 Th2 CM (1)","R/R",0.255472672500926
5723,"RR_P156_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.146836349923896
5724,"RR_P156_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.0757349822199386
5732,"RR_P156_CD3+_7500","CD4 Th1 EM GrB+","R/R",1.73373965373022
5739,"RR_P156_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.21276712265575
5740,"RR_P156_CD3+_7500","CD4 Th2-like EM","R/R",0.726102421221765
5704,"RR_P158_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",1.60715088697382
5708,"RR_P158_CD3+_7500","CD4 Th17 CM","R/R",0.96256401868402
5710,"RR_P158_CD3+_7500","CD4 Th2 CM (1)","R/R",1.07551920290795
5723,"RR_P158_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.82808328366663
5724,"RR_P158_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.78356268129756
5732,"RR_P158_CD3+_7500","CD4 Th1 EM GrB+","R/R",2.33286909999755
5739,"RR_P158_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.5454039673436
5740,"RR_P158_CD3+_7500","CD4 Th2-like EM","R/R",2.13429614843893
5704,"RR_P160_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",1.42920118396673
5708,"RR_P160_CD3+_7500","CD4 Th17 CM","R/R",1.86711394947261
5710,"RR_P160_CD3+_7500","CD4 Th2 CM (1)","R/R",1.79301777471214
5723,"RR_P160_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.39489869535152
5724,"RR_P160_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.45266517239026
5732,"RR_P160_CD3+_7500","CD4 Th1 EM GrB+","R/R",0.804869348507179
5739,"RR_P160_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.68743251084508
5740,"RR_P160_CD3+_7500","CD4 Th2-like EM","R/R",1.60729925338783
5704,"RR_P163_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",2.78693750057426
5708,"RR_P163_CD3+_7500","CD4 Th17 CM","R/R",2.7432507732253
5710,"RR_P163_CD3+_7500","CD4 Th2 CM (1)","R/R",3.17211849945123
5723,"RR_P163_CD3+_7500","CD8 Tc1 EM (1)","R/R",2.29487017688708
5724,"RR_P163_CD3+_7500","CD8 Tc1 EM (1)","R/R",2.60365418440104
5732,"RR_P163_CD3+_7500","CD4 Th1 EM GrB+","R/R",3.39922628842828
5739,"RR_P163_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",2.90175701994166
5740,"RR_P163_CD3+_7500","CD4 Th2-like EM","R/R",3.29174911314009
5704,"RR_P165_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",0.255297407035028
5708,"RR_P165_CD3+_7500","CD4 Th17 CM","R/R",1.44200806175766
5710,"RR_P165_CD3+_7500","CD4 Th2 CM (1)","R/R",1.07085294262108
5723,"RR_P165_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.799770514563128
5724,"RR_P165_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.57261614903241
5732,"RR_P165_CD3+_7500","CD4 Th1 EM GrB+","R/R",2.16419504056172
5739,"RR_P165_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",2.1285653569215
5740,"RR_P165_CD3+_7500","CD4 Th2-like EM","R/R",1.79694221487607
5704,"RR_P172_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",0.000720654600086947
5708,"RR_P172_CD3+_7500","CD4 Th17 CM","R/R",0.256318593802477
5710,"RR_P172_CD3+_7500","CD4 Th2 CM (1)","R/R",0.163564639924978
5723,"RR_P172_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.149860981534043
5724,"RR_P172_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.14957420363286
5732,"RR_P172_CD3+_7500","CD4 Th1 EM GrB+","R/R",0.20221184807743
5739,"RR_P172_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",0.540095880780266
5740,"RR_P172_CD3+_7500","CD4 Th2-like EM","R/R",0.65511309253064
5704,"RR_P31_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",0.806927142768664
5708,"RR_P31_CD3+_7500","CD4 Th17 CM","R/R",0.714366327175222
5710,"RR_P31_CD3+_7500","CD4 Th2 CM (1)","R/R",0.715771826079592
5723,"RR_P31_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.32440541617511
5724,"RR_P31_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.82165254245264
5732,"RR_P31_CD3+_7500","CD4 Th1 EM GrB+","R/R",0.696421824809744
5739,"RR_P31_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.03769893223724
5740,"RR_P31_CD3+_7500","CD4 Th2-like EM","R/R",1.59353710958192
5704,"RR_P34_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",1.98263392872895
5708,"RR_P34_CD3+_7500","CD4 Th17 CM","R/R",0.508514143970214
5710,"RR_P34_CD3+_7500","CD4 Th2 CM (1)","R/R",0.40141481520281
5723,"RR_P34_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.18226464691156
5724,"RR_P34_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.98936034760024
5732,"RR_P34_CD3+_7500","CD4 Th1 EM GrB+","R/R",0.454536983356725
5739,"RR_P34_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.06678276683343
5740,"RR_P34_CD3+_7500","CD4 Th2-like EM","R/R",0.692671508063541
5704,"RR_P37_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",1.1592049376412
5708,"RR_P37_CD3+_7500","CD4 Th17 CM","R/R",1.38246426675009
5710,"RR_P37_CD3+_7500","CD4 Th2 CM (1)","R/R",1.25155657551334
5723,"RR_P37_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.49156881240853
5724,"RR_P37_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.80539228482209
5732,"RR_P37_CD3+_7500","CD4 Th1 EM GrB+","R/R",0.352726155134499
5739,"RR_P37_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.9854060091013
5740,"RR_P37_CD3+_7500","CD4 Th2-like EM","R/R",1.0014753017374
5704,"RR_P40_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",1.63247466752502
5708,"RR_P40_CD3+_7500","CD4 Th17 CM","R/R",1.91288544548909
5710,"RR_P40_CD3+_7500","CD4 Th2 CM (1)","R/R",1.71470681673904
5723,"RR_P40_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.962428233913458
5724,"RR_P40_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.11010347015851
5732,"RR_P40_CD3+_7500","CD4 Th1 EM GrB+","R/R",1.61754460791898
5739,"RR_P40_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",2.09043220989398
